title,credit_id,department,gender,id,job,name,id1,first_name,imdb,gender_prob,gender_guess
X-Men: Apocalypse,5526c20f92514176780004a4,Production,2,10956,Executive Producer,Josh McLaglen,NA,NA,NA,NA,NA
X-Men: Apocalypse,5835ac3dc3a3682f2a013d47,Sound,0,9651,Sound Designer,Craig Berkey,NA,NA,NA,NA,NA
X-Men: Apocalypse,52fe4f19c3a36847f82bd48b,Directing,2,9032,Director,Bryan Singer,NA,NA,NA,NA,NA
X-Men: Apocalypse,52fe4f19c3a36847f82bd4c1,Production,2,9032,Executive Producer,Bryan Singer,NA,NA,NA,NA,NA
X-Men: Apocalypse,52fe4f19c3a36847f82bd4a3,Writing,2,9032,Writer,Bryan Singer,NA,NA,NA,NA,NA
X-Men: Apocalypse,5526c1cec3a3687e11004b60,Editing,2,9039,Editor,John Ottman,NA,NA,NA,NA,NA
X-Men: Apocalypse,5526c1be92514171650023b6,Sound,2,9039,Original Music Composer,John Ottman,NA,NA,NA,NA,NA
X-Men: Apocalypse,5526c1b092514171650023b3,Production,2,9039,Co-Producer,John Ottman,NA,NA,NA,NA,NA
X-Men: Apocalypse,5526c1e2c3a3687df300455d,Camera,0,9040,Director of Photography,Newton Thomas Sigel,NA,NA,NA,NA,NA
X-Men: Apocalypse,583465ea9251416bc60066ec,Costume &amp; Make-Up,1,9043,Costume Design,Louise Mingenbach,NA,NA,NA,NA,NA
X-Men: Apocalypse,52fe4f19c3a36847f82bd4b5,Production,2,11092,Producer,Simon Kinberg,NA,NA,NA,NA,NA
X-Men: Apocalypse,52fe4f19c3a36847f82bd49d,Writing,2,11092,Writer,Simon Kinberg,NA,NA,NA,NA,NA
X-Men: Apocalypse,52fe4f19c3a36847f82bd491,Writing,2,11012,Writer,Michael Dougherty,NA,NA,NA,NA,NA
X-Men: Apocalypse,52fe4f19c3a36847f82bd4af,Writing,2,18866,Characters,Jack Kirby,NA,NA,NA,NA,NA
X-Men: Apocalypse,5835a4e4c3a3682f6c0164be,Crew,2,20406,Second Unit Cinematographer,Larry Blanford,NA,NA,NA,NA,NA
X-Men: Apocalypse,5835a9039251416c63016948,Costume &amp; Make-Up,1,25020,Makeup Department Head,Rita Ciccozzi,NA,NA,NA,NA,NA
X-Men: Apocalypse,5835aa89c3a36829d9019797,Editing,2,32806,Digital Intermediate,Paul Carlin,NA,NA,NA,NA,NA
X-Men: Apocalypse,5835ac1ac3a3682b3e0168e9,Sound,2,113054,Sound Designer,Warren Hendriks,NA,NA,NA,NA,NA
X-Men: Apocalypse,5835ac56c3a3682ea10161b4,Sound,0,113073,Sound Re-Recording Mixer,Paul Massey,NA,NA,NA,NA,NA
X-Men: Apocalypse,5835ac2c9251416c63016be1,Sound,2,113075,Sound Designer,Chuck Michael,NA,NA,NA,NA,NA
X-Men: Apocalypse,5835a7559251416c6301682b,Visual Effects,0,113098,Special Effects Supervisor,Tom Blacklock,NA,NA,NA,NA,NA
X-Men: Apocalypse,52fe4f19c3a36847f82bd497,Writing,2,11013,Writer,Dan Harris,NA,NA,NA,NA,NA
X-Men: Apocalypse,5835a9299251416d570172fa,Costume &amp; Make-Up,0,75294,Makeup Artist,Rosalina Da Silva,NA,NA,NA,NA,NA
X-Men: Apocalypse,5835a9559251416d220178b1,Costume &amp; Make-Up,0,1328146,Makeup Artist,Evelyne Noraz,NA,NA,NA,NA,NA
X-Men: Apocalypse,583465a89251416d220061f5,Art,0,1337455,Construction Coordinator,Phillip Tellez,NA,NA,NA,NA,NA
X-Men: Apocalypse,5835aba29251416d0001749e,Sound,0,1338372,Foley,Dan O'Connell,NA,NA,NA,NA,NA
